Timestamp,Temperature,Humidity,Motion,Prediction
2025-03-24 05:40:21,24.3,32,1,1
2025-03-24 05:40:23,24.3,32,1,1
2025-03-24 05:40:26,24.3,32,1,1
2025-03-24 05:40:30,24.3,32,1,1
2025-03-24 05:40:32,24.3,32,1,1
2025-03-24 05:40:37,24.3,32,1,1
2025-03-24 05:40:39,24.3,32,1,1
2025-03-24 05:40:44,24.3,32,1,1
2025-03-24 05:40:46,24.3,32,1,1
2025-03-24 05:40:48,24.3,32,1,1
2025-03-24 05:40:51,24.3,32,1,1
2025-03-24 05:40:53,24.3,32,1,1
2025-03-24 05:40:55,24.3,32,1,1
2025-03-24 05:40:57,24.3,32,1,1
2025-03-24 05:41:00,24.3,32,1,1
2025-03-24 05:41:02,24.3,32,1,1
2025-03-24 05:41:04,24.3,32,1,1
2025-03-24 05:41:06,24.3,32,1,1
2025-03-24 05:41:09,24.3,32,1,1
2025-03-24 05:41:11,24.3,32,1,1
2025-03-24 05:41:13,24.3,32,1,1
2025-03-24 05:41:18,24.3,32,1,1
2025-03-24 05:41:20,24.3,32,1,1
2025-03-24 05:41:22,24.3,32,1,1
<<<<<<< HEAD
=======
2025-04-15 16:16:23,26.4,49,1,Anomaly
2025-04-15 16:16:50,26.3,49,1,Anomaly
2025-04-15 16:17:15,26.3,49,1,Anomaly
2025-04-15 16:17:37,26.3,48,1,Anomaly
2025-04-15 16:18:02,26.3,48,1,Anomaly
2025-04-15 16:18:25,26.3,48,1,Anomaly
2025-04-15 16:18:47,26.3,48,1,Anomaly
2025-04-15 16:19:12,26.3,48,1,Anomaly
2025-04-15 16:50:58,26.3,48,1,Anomaly
2025-04-15 16:51:34,26.0,48,1,Anomaly
2025-04-15 16:52:10,26.1,48,1,Anomaly
>>>>>>> fe2b6ed (Initial commit with all necessary files and scripts)
